2026-06-10 00:37:46 | GET | /
2026-06-10 00:39:05 | GET | /
2026-06-10 00:39:55 | GET | /
2026-06-10 00:41:27 | GET | /
2026-06-10 00:42:36 | GET | /
2026-06-10 00:42:47 | GET | /swagger
2026-06-10 00:42:47 | GET | /swagger/index.html
2026-06-10 00:42:48 | GET | /swagger/swagger-ui.css
2026-06-10 00:42:48 | GET | /swagger/index.css
2026-06-10 00:42:48 | GET | /swagger/index.js
2026-06-10 00:42:48 | GET | /swagger/swagger-ui-bundle.js
2026-06-10 00:42:48 | GET | /swagger/swagger-ui-standalone-preset.js
2026-06-10 00:42:48 | GET | /swagger/v1/swagger.json
2026-06-10 00:42:57 | GET | /api/Zones
2026-06-10 00:55:31 | GET | /
2026-06-10 00:56:33 | GET | /
2026-06-10 00:56:53 | GET | /
2026-06-10 00:57:00 | GET | /swagger/index.html
2026-06-10 00:57:01 | GET | /swagger/swagger-ui.css
2026-06-10 00:57:01 | GET | /swagger/index.css
2026-06-10 00:57:01 | GET | /swagger/swagger-ui-standalone-preset.js
2026-06-10 00:57:01 | GET | /swagger/swagger-ui-bundle.js
2026-06-10 00:57:01 | GET | /swagger/index.js
2026-06-10 00:57:01 | GET | /swagger/v1/swagger.json
2026-06-10 00:57:07 | GET | /api/Zones
2026-06-10 09:31:52 | GET | /
2026-06-10 09:31:59 | GET | /swagger/index.html
2026-06-10 09:32:00 | GET | /swagger/swagger-ui.css
2026-06-10 09:32:00 | GET | /swagger/index.css
2026-06-10 09:32:00 | GET | /swagger/index.js
2026-06-10 09:32:00 | GET | /swagger/swagger-ui-standalone-preset.js
2026-06-10 09:32:00 | GET | /swagger/swagger-ui-bundle.js
2026-06-10 09:32:00 | GET | /swagger/v1/swagger.json
2026-06-10 09:32:41 | POST | /api/Zones
2026-06-11 16:11:29 | GET | /
2026-06-11 16:43:56 | GET | /
2026-06-11 16:44:08 | OPTIONS | /api/Zones
2026-06-11 17:35:36 | OPTIONS | /api/Zones
2026-06-11 17:37:22 | GET | /
2026-06-11 17:37:49 | OPTIONS | /api/Zones
2026-06-11 17:37:49 | POST | /api/Zones
2026-06-12 12:26:04 | GET | /
2026-06-12 12:27:16 | GET | /api/Zones
2026-06-12 12:27:20 | GET | /api/Zones
2026-06-12 12:27:23 | GET | /api/Zones
2026-06-12 12:27:24 | GET | /api/Zones
2026-06-12 12:27:25 | GET | /api/Zones
2026-06-12 12:27:29 | GET | /api/Zones
2026-06-12 12:27:57 | GET | /api/Zones
2026-06-12 12:27:59 | GET | /api/Zones
2026-06-12 12:28:33 | OPTIONS | /api/Zones
2026-06-12 12:28:33 | POST | /api/Zones
2026-06-12 12:28:40 | GET | /api/Zones
2026-06-12 12:28:40 | GET | /api/Zones
2026-06-12 12:32:16 | GET | /
2026-06-12 12:32:45 | OPTIONS | /api/Zones
2026-06-12 12:32:45 | POST | /api/Zones
2026-06-12 12:33:00 | GET | /api/Zones
2026-06-12 12:33:03 | GET | /api/Zones
2026-06-12 12:34:44 | GET | /api/Zones
